90937   -13,28093650    -49,95403854
99696   -15,55233355    -47,28095937
92847   -14,95259927    -50,57834058
92876   -14,75922031    -50,53903996
92848   -14,49316616    -50,06449124
92841   -17,57456723    -51,09085407
91309   -15,85154381    -50,09238836
91361   -13,34062319    -46,3759389
92877   -15,26710463    -51,17922349
92665   -15,80547684    -48,87600405
92840   -18,76971586    -51,34813882
92905   -18,56253142    -51,13422535
92941   -13,96898710    -47,48456845
91395   -13,44193533    -47,14846255
91362   -14,05457568    -47,07627362
92881   -18,69831032    -52,07290948
99659   -15,72968861    -48,24811363
92886   -16,94208840    -51,81139149
92934   -14,41843969    -48,23047709
92929   -14,32123263    -48,16998031
92933   -14,22987670    -48,14407005
92602   -14,16094152    -48,07558347
92879   -16,43844720    -51,81374883
92935   -14,22731347    -47,8937488
91358   -14,75042538    -46,96296811
92936   -14,47522299    -47,09518981
92937   -14,58984485    -47,27067399
92536   -17,83251760    -52,12180501
92940   -14,70534968    -47,52515984
92909   -18,00791869    -49,36258208
90881   -16,76913658    -49,34643451
91378   -15,22071553    -48,52801763
92931   -15,10287019    -48,23051063
91406   -16,42545362    -48,19283145
91363   -14,49110833    -46,06236958
91074   -17,76120851    -50,96358298
91075   -17,90281179    -51,11323906
92544   -17,78816400    -50,86423893
92538   -17,97319169    -52,00864349
92542   -17,98094584    -51,53945068
92548   -17,87783508    -51,66283661
92912   -16,81671497    -49,05571959
92916   -16,89663698    -48,98775907
92541   -18,00260492    -51,77183494
92898   -17,13499958    -48,82839612
92535   -17,97353182    -52,16300613
92613   -16,69019336    -49,25344932
92540   -17,83860995    -51,73302836
92915   -16,61981034    -48,96913512
92914   -16,62501648    -49,06520704
92908   -18,18150100    -49,29079814
91388   -17,93888654    -48,078383
91386   -18,26907628    -48,56175767
92858   -16,93117480    -48,37079413
91387   -18,12394479    -48,39503972
92918   -16,93503340    -49,25270234
92917   -17,02083016    -49,22203445
92904   -17,09280516    -49,85973372
92890   -17,70442221    -49,47693185
92942   -13,21544315    -48,20732158
91385   -17,44356085    -48,20789163
91373   -15,68389731    -49,34034559
92892   -17,30770908    -49,39070824
92899   -17,39704255    -50,37996762
92620   -14,52710757    -49,10531572
92901   -17,88838135    -48,5737009
91405   -16,20267446    -49,6039726
91404   -16,56634850    -47,79104839
92713   -18,38840812    -49,06876724
91366   -13,98369857    -46,87416145
92939   -14,08069650    -47,30907926
92896   -17,42858762    -47,7972949
91375   -13,88752830    -49,05542555
92838   -17,14992753    -50,01745598
91382   -17,58244945    -47,8174121
92861   -13,43526506    -49,1445341
92906   -18,76119063    -50,94327197
92844   -15,86444668    -50,86918835
92878   -16,39362560    -51,06339438
91381   -17,92620429    -47,8089919
92875   -16,58847068    -50,06881464
92897   -17,83649447    -47,77289987
92604   -13,73127290    -48,14017026
92895   -18,14737011    -48,05138242
92626   -16,68728797    -49,44384782
92627   -16,67303844    -49,44458856
92605   -13,62878100    -48,12209007
92606   -13,78370457    -48,18868433
92628   -16,64934904    -49,4140832
92607   -13,85812419    -48,24450794
92608   -13,83517993    -48,30137483
92609   -13,82794304    -48,29771768
92610   -13,62910344    -48,11780408
92629   -16,64636094    -49,40710883
92630   -16,63440844    -49,38478618
92549   -16,69013532    -49,26139094
92537   -17,86563807    -51,89586586
91152   -16,04999487    -47,31013553
92576   -17,99277165    -48,52907218
91364   -14,10830632    -46,41208053
92699   -17,59404405    -47,61857087
92534   -17,72414894    -52,45752166
92619   -13,38964539    -48,15622633
92636   -16,71390311    -49,43260799
92623   -16,71896703    -49,43059046
92621   -13,83557223    -48,3014132
92622   -13,88602272    -48,15077026
92625   -16,70210972    -49,44244725
92631   -16,59526067    -49,39467751
92632   -16,58797463    -49,39289811
92633   -16,57558307    -49,40208923
92634   -16,61590474    -49,10579136
92635   -16,59488877    -49,0791478
91365   -14,11574941    -46,73037767
92664   -15,82975793    -48,84551192
92666   -14,15962725    -48,33671188
92667   -13,50005033    -46,38288753
92668   -13,49770425    -46,38920928
92669   -13,80496100    -46,34797655
92550   -16,66613672    -49,25546113
92569   -17,77773448    -48,66443231
92570   -17,72754647    -48,61543223
92571   -17,65387821    -48,4940145
92572   -17,65945690    -48,47862233
92573   -17,64935890    -48,46488064
92574   -17,98725360    -48,53522551
92670   -13,80933787    -46,34667162
92671   -13,64496328    -46,36934392
92672   -13,63345574    -46,36707321
92673   -13,61433555    -46,44256506
92674   -13,76845418    -46,3793799
92661   -15,80283796    -48,86650763
92662   -15,78136445    -48,86035194
92663   -15,80007925    -48,81370991
92910   -17,79563977    -49,57715973
92938   -14,07761986    -47,10883705
92552   -17,79480534    -48,66217324
92575   -17,98458997    -48,53260448
91262   -13,77942891    -47,26866095
92750   -14,96960230    -48,91742725
92751   -15,16443446    -48,29957944
92752   -15,34749310    -49,60143335
92849   -13,27299409    -50,16257309
93635   -17,79620851    -50,91255421
93636   -14,52937482    -49,13213342
91260   -13,79226175    -47,45958358
92693   -16,66478178    -49,25475555
92900   -16,90081104    -49,64049103
92902   -17,97240644    -48,63904809
93798   -16,69585052    -49,2673594
91265   -13,25559295    -46,88323883
91263   -13,78924088    -47,26610554
91261   -13,80115984    -47,4510536
92839   -18,21658981    -49,73742794
92913   -16,79279060    -49,50635441
92761   -17,51499941    -49,45654392
92762   -17,37978545    -50,36661147
92763   -17,45204114    -51,18144393
92764   -16,96689144    -51,81750621
92765   -16,72203830    -52,30397891
92766   -16,00072848    -51,38704178
92767   -16,42472595    -51,11732097
92768   -16,66587858    -50,64257559
92769   -16,82092102    -49,87778594
92770   -16,59797958    -49,27773596
92771   -16,69576852    -48,62398266
92772   -16,78766616    -47,64144143
92773   -16,25944491    -47,9594042
92774   -15,80634910    -46,91765403
92911   -16,75726077    -49,12500294
92749   -17,57453565    -52,53699089
92755   -17,82955299    -51,77425941
92756   -17,83667388    -50,95716297
92757   -17,80930844    -50,16490932
92758   -18,06671869    -48,75766232
92759   -18,16662279    -47,92613445
92889   -18,99942466    -50,54075217
92760   -17,31824891    -48,33046359
91360   -14,89828642    -47,73862859
92780   -14,76466046    -50,56689915
92781   -14,73244679    -49,70770988
92775   -15,92853036    -48,81487364
92776   -16,02426442    -49,77128253
92777   -16,03762302    -50,71002698
92778   -15,25264506    -51,16902521
92779   -15,45082807    -50,35119887
92783   -14,28848772    -49,38705598
92784   -13,64782778    -49,82968202
92785   -13,33013380    -50,19992266
92786   -13,40936058    -49,15566546
92787   -13,79131050    -48,56431566
92788   -14,43803487    -48,49088169
92793   -14,12874170    -47,53920512
92794   -14,10274815    -46,6446513
92795   -13,40874070    -46,30775807
92796   -13,02690137    -46,76931451
92903   -17,64640316    -48,70620567
93959   -17,88327893    -51,72610889
92741   -18,96771757    -51,92807995
92742   -18,44432655    -50,41532082
92782   -14,09735766    -50,33433504
92789   -15,00414198    -47,79140171
92790   -15,03491596    -47,05088505
92791   -14,80001727    -46,26322062
92792   -14,45572042    -47,04157642
92932   -14,98631302    -47,99674137
92539   -17,89450061    -51,86176094
91383   -17,20054224    -47,74098231
92551   -17,62531079    -49,34219008
91384   -17,56714265    -48,43800592
92543   -17,97015829    -51,30366541
92893   -17,30082951    -48,29333674
92743   -18,57411172    -51,15662655
92744   -18,30428470    -51,95536791
92745   -18,40061726    -52,67204396
92746   -18,05104594    -53,05752267
92747   -17,33301963    -53,19873447
92894   -17,73961313    -48,16180709
92603   -14,18161889    -48,07621602
91314   -15,31547195    -49,58338599
92846   -15,80511680    -50,12075674
92842   -17,12841952    -51,22429591
92843   -17,35721675    -52,67941298
91264   -13,25732281    -46,89248819
92845   -15,93387211    -50,14003241
92880   -18,12515916    -51,89376125
92624   -16,71429167    -49,44036729
92891   -17,69139704    -49,81327904
96185   -14,50922562    -49,14358436
93637   -16,36312229    -49,49837129
99837   -16,66476435    -49,25469428
91904   -19,01777392    -50,51202995
92860   -16,66472847    -49,25467304
